data_type,year,month,day,start_hour,start_min,end_hour,end_min
1,2018,05,02,14,25,18,29
1,2018,05,03,04,30,12,00
1,2018,05,04,04,30,18,29
1,2018,05,07,05,00,18,29
1,2018,05,08,07,40,18,29
1,2018,05,09,04,30,18,29
2,2018,05,19,06,00,20,04
2,2018,05,20,06,00,20,04
2,2018,05,21,06,00,20,04
2,2018,05,23,06,00,10,29
2,2018,05,23,13,00,16,29
2,2018,05,23,18,20,20,04
2,2018,05,24,06,00,20,04
2,2018,05,25,06,00,20,04
2,2018,05,26,06,00,17,09
2,2018,05,26,18,10,20,04
2,2018,05,27,10,00,20,04
2,2018,05,28,06,00,20,04
2,2018,05,29,18,00,18,19
2,2018,05,30,16,00,20,09
2,2018,05,31,06,00,20,09
2,2018,06,01,06,00,20,09
2,2018,06,02,06,00,20,09
2,2018,06,03,06,00,20,09
2,2018,06,05,06,00,13,00
2,2018,06,05,18,00,20,09
2,2018,06,06,06,00,20,09
2,2018,06,07,06,00,20,09
2,2018,06,10,06,00,18,09
2,2018,06,11,06,00,20,09
2,2018,06,12,06,00,20,09
2,2018,06,13,06,00,10,19
2,2018,06,13,13,00,18,44
3,2018,06,15,11,00,20,14
3,2018,06,16,06,00,19,00
3,2018,06,18,06,00,20,14
3,2018,06,20,16,20,20,19
3,2018,06,21,06,00,20,14
3,2018,06,22,15,00,19,49
3,2018,06,23,06,00,17,00
3,2018,06,24,09,41,20,00
3,2018,06,25,11,20,19,00
3,2018,06,27,14,00,17,00
3,2018,06,29,13,00,20,00
3,2018,06,30,11,00,20,00
3,2018,07,01,06,00,08,00
3,2018,07,02,08,30,17,14
3,2018,07,03,06,00,06,19
3,2018,07,03,08,15,20,00
3,2018,07,04,06,00,20,00
3,2018,07,05,13,30,18,29
3,2018,07,06,06,00,19,29
3,2018,07,07,06,00,20,00
3,2018,07,08,06,00,19,29
3,2018,07,09,17,00,19,49
3,2018,07,10,06,00,19,39
3,2018,07,11,06,00,20,14
3,2018,07,12,10,00,19,29
3,2018,07,13,09,10,20,09
3,2018,07,14,06,00,10,14
3,2018,07,14,13,00,20,14
3,2018,07,15,09,15,20,14
3,2018,07,16,07,40,20,15
3,2018,07,17,06,00,06,29
3,2018,07,17,07,11,07,38
