관측일시,유의파고,최대파고,파주기,파향
5/1/18 0:00,0.07 ,0.11 ,4.28 ,238 
5/1/18 1:00,0.13 ,0.21 ,4.20 ,244 
5/1/18 2:00,0.10 ,0.17 ,4.45 ,157 
5/1/18 3:00,0.03 ,0.05 ,4.91 ,7 
5/1/18 4:00,0.11 ,0.18 ,3.80 ,218 
5/1/18 5:00,0.08 ,0.12 ,4.50 ,258 
5/1/18 6:00,0.04 ,0.06 ,4.90 ,286 
5/1/18 8:00,0.07 ,0.12 ,6.74 ,7 
5/1/18 9:00,0.10 ,0.17 ,6.38 ,60 
5/1/18 10:00,0.24 ,0.40 ,5.33 ,244 
5/1/18 11:00,0.21 ,0.33 ,5.32 ,223 
5/1/18 12:00,0.23 ,0.38 ,5.09 ,246 
5/1/18 13:00,0.15 ,0.25 ,5.74 ,262 
5/1/18 14:00,0.19 ,0.32 ,4.51 ,304 
5/1/18 15:00,0.15 ,0.25 ,4.24 ,262 
5/1/18 16:00,0.11 ,0.18 ,4.55 ,197 
5/1/18 17:00,0.05 ,0.08 ,5.57 ,268 
5/1/18 18:00,0.31 ,0.52 ,5.05 ,340 
5/1/18 19:00,0.22 ,0.37 ,5.07 ,323 
5/1/18 20:00,0.02 ,0.03 ,4.93 ,277 
5/1/18 21:00,0.03 ,0.04 ,7.12 ,277 
5/1/18 22:00,0.03 ,0.04 ,6.06 ,259 
5/1/18 23:00,0.02 ,0.03 ,5.47 ,247 
5/2/18 0:00,0.04 ,0.07 ,5.21 ,149 
5/2/18 1:00,0.10 ,0.16 ,5.34 ,319 
5/2/18 2:00,0.09 ,0.14 ,5.90 ,315 
5/2/18 3:00,0.06 ,0.10 ,5.69 ,257 
5/2/18 7:00,0.09 ,0.15 ,5.51 ,337 
5/2/18 8:00,0.16 ,0.25 ,4.88 ,300 
5/2/18 9:00,0.21 ,0.35 ,4.85 ,317 
5/2/18 10:00,0.23 ,0.39 ,4.48 ,293 
5/2/18 11:00,0.06 ,0.09 ,4.36 ,274 
5/2/18 12:00,0.08 ,0.13 ,5.32 ,318 
5/2/18 13:00,0.07 ,0.12 ,4.60 ,217 
5/2/18 14:00,0.26 ,0.43 ,4.60 ,264 
5/2/18 15:00,0.67 ,1.12 ,4.60 ,286 
5/2/18 16:00,0.97 ,1.59 ,5.30 ,295 
5/2/18 17:00,1.50 ,2.44 ,6.23 ,298 
5/2/18 18:00,2.09 ,3.39 ,6.54 ,298 
5/2/18 19:00,2.31 ,3.74 ,6.72 ,310 
5/2/18 20:00,2.52 ,4.07 ,6.63 ,308 
5/2/18 21:00,2.28 ,3.70 ,6.38 ,309 
5/2/18 22:00,1.69 ,2.75 ,6.21 ,314 
5/2/18 23:00,1.16 ,1.89 ,5.97 ,317 
5/3/18 0:00,0.90 ,1.48 ,5.82 ,318 
5/3/18 1:00,0.73 ,1.20 ,5.54 ,323 
5/3/18 2:00,0.66 ,1.09 ,5.46 ,322 
5/3/18 3:00,0.62 ,1.02 ,5.34 ,323 
5/3/18 4:00,0.85 ,1.40 ,5.49 ,314 
5/3/18 5:00,1.21 ,1.98 ,5.71 ,305 
5/3/18 6:00,1.45 ,2.37 ,5.94 ,300 
5/3/18 7:00,1.42 ,2.32 ,6.20 ,301 
5/3/18 8:00,1.68 ,2.73 ,6.16 ,299 
5/3/18 9:00,1.91 ,3.11 ,6.14 ,300 
5/3/18 10:00,1.54 ,2.50 ,6.11 ,294 
5/3/18 11:00,1.14 ,1.86 ,5.92 ,285 
5/3/18 12:00,1.23 ,2.02 ,5.94 ,290 
5/3/18 13:00,1.30 ,2.13 ,5.75 ,294 
5/3/18 14:00,1.30 ,2.13 ,5.62 ,296 
5/3/18 15:00,1.11 ,1.83 ,5.53 ,296 
5/3/18 16:00,0.89 ,1.46 ,5.55 ,301 
5/3/18 17:00,1.02 ,1.68 ,5.68 ,304 
5/3/18 18:00,1.16 ,1.89 ,5.79 ,305 
5/3/18 19:00,1.14 ,1.87 ,5.78 ,304 
5/3/18 20:00,1.20 ,1.96 ,5.83 ,309 
5/3/18 21:00,1.35 ,2.21 ,5.85 ,304 
5/3/18 22:00,1.11 ,1.82 ,5.89 ,295 
5/3/18 23:00,1.11 ,1.82 ,5.75 ,282 
5/4/18 0:00,0.89 ,1.46 ,5.37 ,297 
5/4/18 1:00,0.88 ,1.45 ,5.38 ,302 
5/4/18 2:00,0.86 ,1.41 ,5.30 ,299 
5/4/18 3:00,0.81 ,1.33 ,5.38 ,303 
5/4/18 4:00,0.87 ,1.43 ,5.58 ,307 
5/4/18 5:00,0.87 ,1.43 ,5.71 ,311 
5/4/18 6:00,1.03 ,1.69 ,5.86 ,310 
5/4/18 7:00,1.14 ,1.87 ,5.84 ,311 
5/4/18 8:00,0.74 ,1.21 ,5.52 ,291 
5/4/18 9:00,0.77 ,1.26 ,5.75 ,302 
5/4/18 10:00,0.91 ,1.50 ,5.77 ,300 
5/4/18 11:00,0.89 ,1.46 ,5.49 ,292 
