관측일시,지점번호,기온,파향,풍속
5/1/18 0:00,229,14.5,203.3,6.1
5/1/18 1:00,229,13.9,211.2,5.4
5/1/18 2:00,229,13.8,199.1,7.4
5/1/18 3:00,229,14.1,171.5,5.5
5/1/18 4:00,229,14.7,180,4.6
5/1/18 5:00,229,14.4,134.3,4.3
5/1/18 6:00,229,13.2,108.8,5.2
5/1/18 7:00,229,14.7,125.9,3.2
5/1/18 8:00,229,15.1,121.8,3.7
5/1/18 9:00,229,14.8,124.9,4.2
5/1/18 10:00,229,15.6,140.1,3.8
5/1/18 11:00,229,16.3,139.9,3.5
5/1/18 12:00,229,16.1,161,2.5
5/1/18 13:00,229,16.5,121.7,0.6
5/1/18 14:00,229,17.3,111.3,0.7
5/1/18 15:00,229,13.6,56.7,1.3
5/1/18 16:00,229,13.5,63.3,3.8
5/1/18 17:00,229,15,66.5,2.6
5/1/18 18:00,229,14.8,47.3,4.2
5/1/18 19:00,229,14.7,19.6,4.1
5/1/18 20:00,229,14.7,61.4,4.6
5/1/18 21:00,229,14.1,74.4,5.5
5/1/18 22:00,229,12.9,93.1,5
5/1/18 23:00,229,13.7,95.7,5.8
5/2/18 0:00,229,15.7,115.9,5.5
5/2/18 1:00,229,13,20.2,6.7
5/2/18 2:00,229,11.5,35.9,9.7
5/2/18 3:00,229,13.2,38.4,7.6
5/2/18 4:00,229,13.1,51.5,6
5/2/18 5:00,229,12.3,41.3,6.4
5/2/18 6:00,229,13.9,64.5,5.1
5/2/18 7:00,229,13.1,79.3,3.8
5/2/18 8:00,229,14.7,121.6,3.6
5/2/18 9:00,229,14.1,184.6,5.3
5/2/18 10:00,229,15.5,208.2,3.4
5/2/18 11:00,229,12.6,270,5.6
5/2/18 12:00,229,10.5,289.7,8.8
5/2/18 13:00,229,9.8,299.8,7.7
5/2/18 14:00,229,9.1,292.4,12.6
5/2/18 15:00,229,9,301.8,14
5/2/18 16:00,229,10.1,304.3,13.9
5/2/18 17:00,229,10.1,314.1,15
5/2/18 18:00,229,9.8,313.4,16.6
5/2/18 19:00,229,9.3,301.9,15.9
5/2/18 20:00,229,8.8,301.2,14.5
5/2/18 21:00,229,9,293.7,14.5
5/2/18 22:00,229,9,290.9,12.8
5/2/18 23:00,229,8.9,284.8,11.3
5/3/18 0:00,229,8.5,275.1,10.1
5/3/18 1:00,229,8.9,283.9,9.8
5/3/18 2:00,229,9,300.9,9.4
5/3/18 3:00,229,9.2,301.5,10.8
5/3/18 4:00,229,9.6,294.6,14.4
5/3/18 5:00,229,9.8,291.7,14.5
5/3/18 6:00,229,9.5,288.1,13.1
5/3/18 7:00,229,9.8,283.2,12.6
5/3/18 8:00,229,10.3,282.5,13.5
5/3/18 9:00,229,10.2,276.7,14.5
5/3/18 10:00,229,10.9,268.1,15.1
5/3/18 11:00,229,10.6,258.6,12.6
5/3/18 12:00,229,11.5,267,11.3
5/3/18 13:00,229,11.1,290.3,12.4
5/3/18 14:00,229,11,289.6,11.4
5/3/18 15:00,229,10.8,291.3,12.5
5/3/18 16:00,229,10.3,292.8,13.6
5/3/18 17:00,229,10.4,296.2,13
5/3/18 18:00,229,10,290.2,13.1
5/3/18 19:00,229,9.4,287.7,12.2
5/3/18 20:00,229,9.3,288.6,12.6
5/3/18 21:00,229,9.2,283.4,11.9
5/3/18 22:00,229,9.4,282.7,11.8
5/3/18 23:00,229,9.6,281,13.6
5/4/18 0:00,229,9.5,281.6,13.8
5/4/18 1:00,229,9.4,279.5,13.3
5/4/18 2:00,229,9.4,277.3,13.4
5/4/18 3:00,229,9.5,280.8,13.5
5/4/18 4:00,229,9.3,273.8,12
5/4/18 5:00,229,9.6,275,12.8
5/4/18 6:00,229,9.9,273.6,12.9
5/4/18 7:00,229,10.4,270.9,12.6
5/4/18 8:00,229,10.6,265.4,12.5
5/4/18 9:00,229,11.2,263.4,13.1
5/4/18 10:00,229,11.9,252.9,11.6
5/4/18 11:00,229,12.1,248.8,11.8
5/4/18 12:00,229,12.3,247.7,12.2
5/4/18 13:00,229,12.6,248,13.1
5/4/18 14:00,229,12.5,245,12.2
5/4/18 15:00,229,12.5,246.4,11.3
5/4/18 16:00,229,12.4,235.8,9.1
5/4/18 17:00,229,12.3,233.9,9.5
5/4/18 18:00,229,12.1,231.3,10
5/4/18 19:00,229,12.2,229.6,11
5/4/18 20:00,229,11.4,223.9,10.7
5/4/18 21:00,229,12,224.1,11.5
5/4/18 22:00,229,12.1,223.1,12.5
5/4/18 23:00,229,11.9,224.1,11.6
5/5/18 0:00,229,11.8,222.9,10.8
5/5/18 1:00,229,12.1,226.7,11.3
5/5/18 2:00,229,12.3,225.8,11.6
5/5/18 3:00,229,11.5,221.7,12.2
5/5/18 4:00,229,10.2,214.4,11.8
5/5/18 5:00,229,9.4,208.2,12
5/5/18 6:00,229,9.3,206.2,11.6
5/5/18 7:00,229,9.8,204,12.8
5/5/18 8:00,229,10.8,208.2,12.7
5/5/18 9:00,229,11.2,204.2,13.1
5/5/18 10:00,229,11.7,202.3,13.4
5/5/18 11:00,229,12.7,203.1,13.1
5/5/18 12:00,229,13.3,205.1,13.4
5/5/18 13:00,229,12.9,205.1,13.3
5/5/18 14:00,229,12.4,205.2,13.2
5/5/18 15:00,229,13.9,201.9,13.2
5/5/18 16:00,229,12.8,197.5,14.9
5/5/18 17:00,229,12.3,197.3,14.3
5/5/18 18:00,229,12.2,200.3,13.2
5/5/18 19:00,229,11.6,200.4,12.4
5/5/18 20:00,229,11.4,202.5,13.6
5/5/18 21:00,229,11.6,201.7,13.4
5/5/18 22:00,229,11.5,204.3,12.5
5/5/18 23:00,229,11.9,208.6,10.3
5/6/18 0:00,229,11.3,204.7,7.1
5/6/18 1:00,229,11.5,190.5,9.3
5/6/18 2:00,229,12.4,181.7,12.5
5/6/18 3:00,229,11.9,162.3,12.8
5/6/18 4:00,229,12.8,168.8,14.9
5/6/18 5:00,229,11.8,139.2,9.6
5/6/18 6:00,229,11.7,137.2,9.4
5/6/18 7:00,229,12.4,130.8,8.8
5/6/18 8:00,229,12,134.7,8
5/6/18 9:00,229,12.7,132.9,7.4
5/6/18 10:00,229,11.8,118.7,6.5
5/6/18 11:00,229,11.6,88.1,5.8
5/6/18 12:00,229,10.6,63.7,4.9
5/6/18 13:00,229,11.1,58.5,11.8
5/6/18 14:00,229,11,60.1,12.3
5/6/18 15:00,229,11.8,72,9.1
5/6/18 16:00,229,13.3,82,6.9
5/6/18 17:00,229,13.2,76.5,4.9
5/6/18 18:00,229,11.1,37,10.4
5/6/18 19:00,229,11.6,44.8,8.7
5/6/18 20:00,229,12.9,50.5,9.6
5/6/18 21:00,229,13.5,53.2,7.7
5/6/18 22:00,229,12.5,46.8,7.1
5/6/18 23:00,229,11.3,15.1,9.4
5/7/18 0:00,229,12,21.4,11.4
5/7/18 1:00,229,11.7,20.6,12
5/7/18 2:00,229,12,31.1,11.7
5/7/18 3:00,229,11.4,36.6,10.4
5/7/18 4:00,229,11.7,43,10
5/7/18 5:00,229,12.4,55.3,9.1
5/7/18 6:00,229,13.6,49.8,8.6
5/7/18 7:00,229,11.2,28.5,9.1
5/7/18 8:00,229,12.4,27.1,9.9
5/7/18 9:00,229,12.1,26.5,7.1
5/7/18 10:00,229,12.5,31.8,6.7
5/7/18 11:00,229,12.3,30.9,6.3
5/7/18 12:00,229,13.7,26.9,8
5/7/18 13:00,229,15.1,24.7,8
5/7/18 14:00,229,14.8,13.7,7.3
5/7/18 15:00,229,14.9,14.7,5
5/7/18 16:00,229,15,345.7,4.2
5/7/18 17:00,229,15.4,327.5,5.8
5/7/18 18:00,229,14.7,318.1,7.4
5/7/18 19:00,229,15.6,339.5,7.1
5/7/18 20:00,229,16.7,337.3,6.4
5/7/18 21:00,229,14.9,332.3,6.2
5/7/18 22:00,229,15.4,345.8,7.1
5/7/18 23:00,229,14.2,333.9,5
5/8/18 0:00,229,13.6,9.1,5.6
5/8/18 1:00,229,13.7,9.9,6.3
5/8/18 2:00,229,13,6.3,6.7
5/8/18 3:00,229,12.5,11.6,7.7
5/8/18 4:00,229,11,22.7,8.7
